	created_date	f0_
0	2015-11-04	2590
1	2015-12-03	6396
2	2015-12-05	1635
3	2015-12-09	1343
4	2015-12-16	3319
5	2016-01-14	5228
6	2016-01-22	3965
7	2016-01-29	2387
8	2016-02-13	1503
9	2012-05-19	1147
10	2012-05-26	2597
11	2012-05-07	604
12	2012-06-29	2996
13	2012-06-06	3184
14	2012-06-25	962
15	2012-06-15	4149
16	2012-08-01	3234
17	2012-08-15	2148
18	2012-08-29	1364
19	2012-09-01	2173
20	2012-08-27	155
21	2012-08-22	680
22	2012-09-23	1093
23	2012-09-27	1320
24	2012-10-22	663
25	2012-12-21	840
26	2013-01-19	4572
27	2013-01-30	1218
28	2013-02-23	3682
29	2013-02-06	3517
30	2013-02-05	1126
31	2013-02-20	520
32	2013-02-10	4
33	2013-03-16	4866
34	2013-03-29	2741
35	2013-03-23	30
36	2013-03-05	926
37	2011-02-18	1455
38	2011-02-04	829
39	2011-02-12	757
40	2011-04-29	2323
41	2011-04-18	758
42	2011-05-28	1348
43	2011-05-29	1705
44	2011-05-13	1797
45	2011-05-23	2521
46	2011-05-04	2921
47	2011-06-09	1815
48	2011-07-24	862
49	2011-07-26	3754
50	2011-08-04	2669
51	2011-08-28	1178
52	2011-08-14	859
53	2011-09-06	831
54	2011-09-07	2154
55	2011-10-26	2114
56	2011-10-14	1813
57	2011-10-02	1040
58	2011-11-15	397
59	2011-12-18	1033
60	2011-12-17	1069
61	2011-12-13	1186
62	2012-01-25	1378
63	2012-01-21	1628
64	2012-01-23	1729
65	2012-03-15	3262
66	2012-03-22	4439
67	2012-03-06	2333
68	2012-04-01	790
69	2012-03-11	1653
70	2012-04-10	1131
71	2012-04-03	1261
72	2009-06-04	949
73	2009-07-15	865
74	2009-07-11	840
75	2009-07-22	1154
76	2009-07-19	464
77	2009-08-23	688
78	2009-08-18	520
79	2009-08-05	1188
80	2009-08-15	961
81	2009-09-04	1372
82	2009-09-24	1038
83	2009-10-30	669
84	2009-10-09	1350
85	2009-11-08	1140
86	2009-11-19	879
87	2009-11-04	1686
88	2009-11-03	542
89	2009-11-24	1418
90	2009-12-24	1262
91	2009-12-18	1308
92	2010-01-27	3363
93	2010-01-14	2174
94	2010-01-24	2584
